Genus_species,Fanning,PC1A,PC1B,PC1C,PC1D,PC1E,PC1F,PC1G,PC1H,PC1I,PC1J,PC2A,PC2B,PC2C,PC2D,PC2E,PC2F,PC2G,PC2H,PC2I,PC2J
Gempylus_serpens,NonFanning,-0.291837083,-0.282066928,-0.333154936,-0.278633302,-0.263917479,-0.31435125,-0.303829554,-0.290800473,-0.348415656,-0.301033783,0.00438949,-0.040614723,-0.00811996,-0.024311536,-0.019580431,0.011922164,-0.028512742,-0.040182693,-0.008074223,-0.009493052
Aphanopus_carbo,NonFanning,-0.069316362,-0.050810538,-0.083192714,-0.114623372,-0.019531783,-0.15957434,-0.035197026,-0.043969314,-0.078513669,-0.081518003,-0.046309045,-0.070994039,-0.02180076,-0.05345014,-0.053709575,-0.036910734,-0.065829975,-0.080275833,-0.049660696,-0.017227826
Sarda_sarda,NonFanning,-0.00350713,-0.038185644,0.015589014,0.024952739,-0.034001658,-0.040560796,-0.024373856,0.042491092,-0.055018106,-0.012696578,0.033133987,0.093688338,0.080331523,0.039656834,0.075281168,0.107345025,0.063641494,0.050426369,0.061473152,0.072947032
Thunnus_albacares,NonFanning,-0.297281985,-0.316174063,-0.276472218,-0.287034019,-0.251424223,-0.282493509,-0.277985316,-0.318844834,-0.317292056,-0.282526308,-0.013584653,-0.010034538,-0.047637348,-0.020809536,-0.033371929,-0.007554474,-0.028688329,-0.024455093,-0.021110801,0.017474501
Euthynnus_affinis,NonFanning,-0.144217765,-0.198800176,-0.193664445,-0.170189185,-0.178175965,-0.149688246,-0.156022907,-0.159743226,-0.1256435,-0.182690227,0.09600251,0.058844429,0.090649485,0.103301786,0.082199163,0.041528659,0.069340501,0.061849104,0.065150255,0.096506805
Katsuwonus_pelamis,NonFanning,-0.2482926,-0.183967498,-0.203774889,-0.198873474,-0.206925487,-0.224450911,-0.271335033,-0.206358224,-0.183429513,-0.215912744,0.050948624,0.057759337,0.081915973,0.104113138,0.109691961,0.123288214,0.064043132,0.067683414,0.088473341,0.081739378
Scomber_scombrus,NonFanning,-0.137013099,-0.064438458,-0.035468576,-0.042820638,-0.030451154,-0.011117113,-0.047525131,-0.135977951,-0.069784123,-0.051324677,-0.017587955,0.006063852,0.031965817,0.009197494,-0.000940747,0.024698585,0.02658645,0.035373791,-0.011457688,0.001897691
Scomber_australasicus,NonFanning,-0.094343533,-0.098643031,-0.06133012,-0.080130577,-0.102911819,-0.070014939,-0.110168315,-0.146436672,-0.106728468,-0.156440985,0.075277717,0.117010714,0.132039718,0.094699232,0.106388998,0.129127248,0.115725877,0.09692798,0.11231424,0.123808162
Scomber_japonicus,NonFanning,-0.077212734,-0.090442327,-0.112547415,-0.105057852,-0.127029081,-0.037890297,-0.112772993,-0.123913531,-0.083493233,-0.090240912,0.085938982,0.047504016,0.074365574,-0.005970576,0.000233554,0.02964637,0.058389495,0.054105822,0.092035941,0.023609544
Nomeus_gronovii,NonFanning,-0.02416368,0.014498288,0.014243514,0.029188806,-0.003373514,0.05469038,0.091541089,0.044976268,0.06307162,0.024373905,0.021460468,0.052112629,0.023173486,0.059622075,0.061466529,0.05362503,0.078093136,0.039687949,0.034856381,0.047830199
Fistularia_commersonii,NonFanning,0.244044458,0.154321351,0.131627831,0.150713656,0.208716838,0.154451729,0.151977901,0.081987678,0.19732273,0.144782285,-0.100033145,-0.065567621,-0.080321309,-0.106087138,-0.09713414,-0.127936486,-0.102319516,-0.103708827,-0.133482209,-0.11383755
Synchiropus_altivelis,NonFanning,0.144736424,0.164661035,0.191147642,0.148853656,0.146505765,0.14410591,0.155194236,0.141974866,0.183711925,0.103821171,0.041661078,0.011756512,0.046666098,0.041268254,0.048612784,0.021661952,0.031269958,0.02505821,0.022834245,0.013646959
Callionymus_sagitta,NonFanning,0.060381497,0.137818401,0.181916657,0.10832234,0.079491706,0.171070394,0.154776994,0.090566891,0.138033751,0.084248975,0.004654403,-0.044353455,-0.011916669,-0.028725225,-0.01424124,-0.007096215,0.014564403,-0.033980732,-0.044093335,-0.012352567
Aulostomus_chinensis,NonFanning,0.349942228,0.420285916,0.376273103,0.424236082,0.356904415,0.454509436,0.41044286,0.456292417,0.469216859,0.460900135,0.01105819,0.00504978,0.030000343,0.006720502,0.030218256,0.041957755,-0.015788548,0.00305468,0.010175196,0.01399656
Macroramphosus_gracilis,NonFanning,-0.266119071,-0.280639005,-0.265290296,-0.245172017,-0.256229552,-0.264112623,-0.263939977,-0.275486405,-0.251954167,-0.289577997,-0.009895705,-0.000497243,-0.017500886,-0.004249167,-0.014700048,-0.006435553,-0.004761323,-0.036546232,0.033869291,-0.002748439
Odontobutis_obscura,Fanning,0.067626537,0.03957771,0.102563102,0.066129332,0.075264717,0.066454373,0.028233844,0.076078856,0.074736989,-0.001482222,-0.038336671,-0.065819445,-0.070292691,-0.051463302,-0.010255474,-0.036611666,-0.022289227,-0.031762934,-0.04922154,-0.060646329
Amblygobius_bynoensis,Fanning,0.136313003,0.168034643,0.201800146,0.187011045,0.133087574,0.202781632,0.161579169,0.175703101,0.182044684,0.19724023,-0.018230862,-0.018457057,-0.047748075,-0.021375412,-0.001130011,-0.035353954,0.004609838,-0.037305222,-0.047191776,-0.027895895
Rhinogobius_brunneus,Fanning,0.214527664,0.191705196,0.259524057,0.216233451,0.193101592,0.253792912,0.211560247,0.262784436,0.265163311,0.159142674,-0.026592855,-0.047165011,-0.035898236,-0.013684857,-0.056873693,-0.074417193,-0.099642457,-0.0498354,-0.059600266,-0.062681117
Clevelandia_ios,NonFanning,0.271435228,0.189372254,0.153886992,0.183629565,0.150667713,0.189904831,0.161031346,0.245151833,0.179787525,0.198275126,-0.069214711,-0.054124524,-0.097183322,-0.070694856,-0.06607734,-0.050662778,-0.069201836,-0.095738425,-0.045471584,-0.058061779
Glossogobius_callidus,Fanning,0.14017859,0.086733877,0.083233218,0.100605469,0.108506102,0.027032317,0.099411438,0.159979028,0.181837868,0.108291509,-0.141397337,-0.112466434,-0.139236122,-0.106028361,-0.126445686,-0.118136021,-0.159954657,-0.130168867,-0.127164393,-0.140248387
Eviota_prasina,Fanning,0.02956187,0.048132975,0.014907703,0.047432235,0.021114696,0.035408456,0.080580858,0.005571175,0.07601687,0.061657481,-0.015356029,-0.027155689,0.010521344,0.011121511,-0.019956892,-0.020033383,0.002913957,-0.023378389,-0.000782806,-0.010065404
Gobiusculus_flavescens,Fanning,0.136965256,0.053759493,0.043508257,0.090089707,0.14096587,0.096588947,0.05736444,0.1069866,0.147391086,0.13484115,-0.052414222,-0.042884239,-0.047690928,-0.097054635,-0.027074962,-0.067288779,-0.044706711,-0.062865903,-0.061273388,-0.040869602
