,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
92,-34.46968658,-41.48460726,-76.74663391,-77.1399891,-75.34610802,-75.18331573,-285.7635571,-303.7090689,-414.3992997,-417.592944,-414.77235,-413.3701619
93,31.78939447,9.772429876,-46.78456712,-46.87467393,-44.74203057,-44.76102384,-284.0016648,-303.345956,-415.2904932,-417.3826947,-414.4424556,-413.8359025
94,-30.30720775,-39.73622302,-74.20948335,-75.05900997,-73.33979104,-73.12326696,-285.4859,-302.4779227,-414.3992999,-417.5709314,-412.9141662,-413.8391486
95,-22.87922512,-36.41817655,-71.12012669,-71.82448161,-70.79613391,-70.04659532,-272.9676263,-294.9040279,-414.4134782,-416.9465081,-413.2648589,-412.7814751
96,-0.454973295,-16.87941539,-60.32050334,-61.09265772,-59.32794102,-58.99458936,-287.1741027,-305.8681986,-414.7369577,-416.8518243,-414.4397378,-412.8997119
97,-30.77382594,-40.73090813,-73.87514749,-75.18681579,-73.90489142,-73.36623559,-285.8310483,-303.6304054,-414.3992965,-417.5904579,-414.3642974,-414.1667486
98,83.20470177,53.37838857,-35.44191621,-78.02495438,-77.05997108,-76.54028747,-277.5445828,-299.9150861,-415.8597758,-417.8957925,-415.4305827,-414.2286202
99,-20.35875718,-33.37112498,-68.62740456,-70.00996208,-68.49191848,-68.1014158,-287.0709498,-305.1024375,-414.3993003,-417.5945466,-415.0455353,-413.6180532
100,-32.80971166,-43.61611698,-75.64933505,-76.55906039,-75.70066468,-75.12928784,-286.311015,-306.8718721,-414.4200923,-416.9719826,-414.0235434,-412.1698677
,-17.57603223,-30.6039586,-69.4458474,-71.92899401,-70.60198093,-70.11690024,-283.0942324,-302.846129,-414.4950193,-417.3924567,-414.3940252,-413.1235462
