,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
36,36,-149.2110437,-152.159579,-187.0928211,-201.5059709,-206.9415377,-617.0723638,-615.0363355,-700.709793,-705.339096,-703.291585
37,37,-50.90298091,-68.68190245,-135.0580097,-166.4971904,-175.7606324,-611.4110813,-609.3659183,-701.660876,-706.5153931,-704.5067864
38,38,-151.2912614,-154.7057137,-188.6439692,-202.8739303,-208.5790195,-617.8568451,-615.8216781,-701.6841715,-706.1696227,-704.1157477
39,39,-151.7088613,-154.6788505,-188.3517565,-202.1325309,-207.6335072,-613.6782936,-611.7816006,-699.8565778,-704.6355951,-702.5597166
40,40,-144.8411516,-146.0298698,-185.7019528,-201.3665721,-205.423174,-610.3781176,-608.3301144,-699.1576057,-704.1484915,-702.126251
41,41,-116.9064329,-124.5868393,-169.7697462,-188.3436705,-195.9450406,-585.0308174,-584.690707,-691.9927123,-697.8018673,-695.7321096
42,42,-132.2449684,-137.8224293,-177.39142,-193.3349965,-200.2069893,-608.3107938,-606.9631792,-698.2925391,-703.369501,-701.2857027
43,43,-115.9602503,-124.7264206,-169.7812323,-188.4654584,-196.4984609,-545.2698958,-548.3877039,-685.5329002,-693.3524909,-687.6705186
44,44,-147.4118686,-151.0015575,-185.7432907,-199.9647137,-205.7980589,-620.0788447,-618.2282633,-702.2583566,-706.7897736,-704.7138357
45,45,-147.330968,-150.0418381,-187.1685181,-201.9011127,-207.27926,-562.2160298,-570.780517,-686.0635393,-693.3964998,-690.4680228
